
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-11 09:49:25 ............................................ ~ 500.48ms
  2026-05-11 09:49:26 /css/bootstrap.min.css ....................... ~ 0.10ms
  2026-05-11 09:49:26 /css/animations.css .......................... ~ 0.34ms
  2026-05-11 09:49:26 /css/font-awesome5.css ....................... ~ 0.54ms
  2026-05-11 09:49:26 /css/shop.css ................................ ~ 0.71ms
  2026-05-11 09:49:26 /css/custom.css .............................. ~ 0.93ms
  2026-05-11 09:49:26 /css/main.css ................................ ~ 1.17ms
  2026-05-11 09:49:26 /js/vendor/modernizr-custom.js ............... ~ 0.05ms
  2026-05-11 09:49:26 /images/events/08.jpg ........................ ~ 0.18ms
  2026-05-11 09:49:26 /images/logo_color.png ....................... ~ 0.37ms
  2026-05-11 09:49:26 /images/pillone.jpeg ......................... ~ 0.03ms
  2026-05-11 09:49:26 /js/compressed.js ............................ ~ 0.07ms
  2026-05-11 09:49:26 /js/main.js .................................. ~ 0.05ms
  2026-05-11 09:49:26 /images/slide01.jpg .......................... ~ 0.03ms
  2026-05-11 09:49:26 /images/partners/telecel.webp ................ ~ 0.07ms
  2026-05-11 09:49:26 /images/partners/moovAfrica.png .............. ~ 0.26ms
  2026-05-11 09:49:26 /images/partners/malitel.png ................. ~ 0.39ms
  2026-05-11 09:49:26 /images/partners/orange.png .................. ~ 0.61ms
  2026-05-11 09:49:26 /images/partners/coris.png ................... ~ 0.76ms
  2026-05-11 09:49:26 /images/partners/ikoula.jpg .................. ~ 0.93ms
  2026-05-11 09:49:26 /images/partners/unify.png ................... ~ 0.08ms
  2026-05-11 09:49:26 /images/partners/itancia.png ................. ~ 0.23ms
  2026-05-11 09:49:26 /images/partners/atel.png .................... ~ 0.38ms
  2026-05-11 09:49:26 /images/partners/tritux.png .................. ~ 0.55ms
  2026-05-11 09:49:26 /images/actualite/Call.jpg ................... ~ 0.69ms
  2026-05-11 09:49:26 /images/actualite/boutique.jpg ............... ~ 0.51ms
  2026-05-11 09:49:26 /img/preloader-img.png ....................... ~ 0.05ms
  2026-05-11 09:49:26 /images/dev/code.jpg ......................... ~ 0.23ms
  2026-05-11 09:49:26 /images/images/faq.png ....................... ~ 0.43ms
  2026-05-11 09:49:26 /images/images/call.png ...................... ~ 0.60ms
  2026-05-11 09:49:26 /images/play_3.png ........................... ~ 0.03ms
  2026-05-11 09:49:26 .............................................. ~ 0.02ms
  2026-05-11 09:49:26 /fonts/fa-solid-900.woff2 .................... ~ 0.18ms
  2026-05-11 09:49:26 /fonts/fa-brands-400.woff2 ................... ~ 0.40ms
  2026-05-11 09:49:26 /fonts/fa-regular-400.woff2 .................. ~ 0.68ms
  2026-05-11 09:49:26 /images/Hosting_Video.webm ................... ~ 0.03ms
  2026-05-11 09:49:26 .............................................. ~ 0.05ms
  2026-05-11 09:49:26 .............................................. ~ 0.58ms
  2026-05-11 09:49:28 ............................................ ~ 500.73ms
  2026-05-11 09:49:28 /css/bootstrap.min.css ....................... ~ 0.10ms
  2026-05-11 09:49:28 /css/animations.css .......................... ~ 0.29ms
  2026-05-11 09:49:28 /css/font-awesome5.css ....................... ~ 0.59ms
  2026-05-11 09:49:28 /css/shop.css ................................ ~ 0.77ms
  2026-05-11 09:49:28 /css/custom.css .............................. ~ 1.06ms
  2026-05-11 09:49:28 /css/main.css ................................ ~ 1.31ms
  2026-05-11 09:49:28 /js/vendor/modernizr-custom.js ............... ~ 1.08ms
  2026-05-11 09:49:28 /images/events/08.jpg ........................ ~ 0.21ms
  2026-05-11 09:49:28 /images/logo_color.png ....................... ~ 0.43ms
  2026-05-11 09:49:28 /images/pillone.jpeg ......................... ~ 0.05ms
  2026-05-11 09:49:28 /js/compressed.js ............................ ~ 0.23ms
  2026-05-11 09:49:28 /js/main.js .................................. ~ 0.03ms
  2026-05-11 09:49:28 /images/partners/telecel.webp ................ ~ 0.08ms
  2026-05-11 09:49:28 /images/partners/moovAfrica.png .............. ~ 0.24ms
  2026-05-11 09:49:28 /images/partners/malitel.png ................. ~ 0.37ms
  2026-05-11 09:49:28 /images/partners/orange.png .................. ~ 0.53ms
  2026-05-11 09:49:28 /images/partners/coris.png ................... ~ 0.68ms
  2026-05-11 09:49:28 /images/slide01.jpg .......................... ~ 0.93ms
  2026-05-11 09:49:28 /images/partners/ikoula.jpg .................. ~ 0.06ms
  2026-05-11 09:49:28 /images/partners/unify.png ................... ~ 0.21ms
  2026-05-11 09:49:28 /images/partners/itancia.png ................. ~ 2.93ms
  2026-05-11 09:49:28 /images/partners/atel.png .................... ~ 3.13ms
  2026-05-11 09:49:28 /images/partners/tritux.png .................. ~ 3.31ms
  2026-05-11 09:49:28 /images/dev/code.jpg ......................... ~ 0.07ms
